Title,HH & NPISH (S.14 + S.15): Households' & NPISH saving ratio (per cent): Current price: £m: SA,"Unemployment rate (aged 16 and over, seasonally adjusted): %",CPI INDEX 00: ALL ITEMS 2015=100,HH & NPISH (S.14 + S.15): Currency and deposits (AF.2): Asset: Current price: £m: NSA,HH & NPISH (S.14 + S.15): Total financial assets (AF.A): Asset: Current price: £m: NSA,HH & NPISH (S.14 + S.15): Total financial liabilities (AF.L): Liability: Current price: £m: NSA,UK resident population: mid-year estimates (Qtly data interpolated),HH & NPISH (S.14 + S.15): Loans secured on dwellings (AF.422): Liability: Current price: £m: NSA,HH & NPISH (S.14 + S.15): Net financial assets (BF.90): Current price: £m: NSA,HH & NPISH (S.14 + S.15): Real Households' & NPISH disposable income at chained volume measures (reference year 2022)(1):CP:£m:SA,RSI:Volume Seasonally Adjusted:All Retailers inc fuel:All Business Index,"CG: Current receipts: Taxes on production: VAT, receivable: £m CPNSA",AWE: Whole Economy Level (£): Seasonally Adjusted Total Pay Excluding Arrears,IOP: B-E: PRODUCTION: CVMSA,Gross Value Added - Monthly (Index 1dp) :CVM SA,Wholesale & retail trade; Repair of motor vehicles/cycles (Index 1dp) :CVM SA,IoS: Services: Period on Period Growth
CDID,NRJS,MGSX,D7BT,NNMP,NNML,NNPP,EBAQ,NNRP,NZEA,NRJR,J5EK,NZGF,KAB9,K222,ECY2,ECYD,S222
Source dataset ID,UKEA,LMS,MM23,UKEA,UKEA,UKEA,QNA,UKEA,UKEA,UKEA,DRSI,PUSF,EMP,DIOP,MGDP,MGDP,IOS1
PreUnit,,,,,,,,,,£,,£,£,,,,
Unit,,%,"Index, base year = 100",,,,",000",,,m,"Index, base year = 100",m,,"Index, base year = 100",,,
Release date,23/12/2024,21/01/2025,15/01/2025,23/12/2024,23/12/2024,23/12/2024,23/12/2024,23/12/2024,23/12/2024,23/12/2024,17/01/2025,22/01/2025,21/01/2025,16/01/2025,16/01/2025,16/01/2025,16/01/2025
Next release,28-Mar-25,18-Feb-25,19-Feb-25,28-Mar-25,28-Mar-25,28-Mar-25,13-Feb-25,28-Mar-25,28-Mar-25,28-Mar-25,21-Feb-25,21-Feb-25,18-Feb-25,13-Feb-25,13-Feb-25,13-Feb-25,13-Feb-25
Important notes,,,,,,,,,,,,,,,,,
1977 MAY,,5.5,,,,,,,,,,,,65.5,,,
1977 JUN,,5.6,,,,,,,,,,,,62.9,,,
1977 JUL,,5.6,,,,,,,,,,,,63.2,,,
1977 AUG,,5.7,,,,,,,,,,,,63.8,,,
1977 SEP,,5.7,,,,,,,,,,,,64,,,
1977 OCT,,5.7,,,,,,,,,,,,63.8,,,
1977 NOV,,5.7,,,,,,,,,,,,63.3,,,
1977 DEC,,5.7,,,,,,,,,,,,64.5,,,
1978 JAN,,5.6,,,,,,,,,,,,64.4,,,
1978 FEB,,5.6,,,,,,,,,,,,64.4,,,
1978 MAR,,5.6,,,,,,,,,,,,63.7,,,
1978 APR,,5.6,,,,,,,,,,,,67.6,,,
1978 MAY,,5.6,,,,,,,,,,,,65.3,,,
1978 JUN,,5.5,,,,,,,,,,,,65.3,,,
1978 JUL,,5.5,,,,,,,,,,,,66.3,,,
1978 AUG,,5.5,,,,,,,,,,,,66.8,,,
1978 SEP,,5.5,,,,,,,,,,,,66.8,,,
1978 OCT,,5.4,,,,,,,,,,,,65.5,,,
1978 NOV,,5.4,,,,,,,,,,,,65.9,,,
1978 DEC,,5.3,,,,,,,,,,,,68,,,
1979 JAN,,5.3,,,,,,,,,,,,63.3,,,
1979 FEB,,5.4,,,,,,,,,,,,68,,,
1979 MAR,,5.3,,,,,,,,,,,,68.9,,,
1979 APR,,5.3,,,,,,,,,,,,68.8,,,
1979 MAY,,5.3,,,,,,,,,,,,69.8,,,
1979 JUN,,5.3,,,,,,,,,,,,70.9,,,
1979 JUL,,5.3,,,,,,,,,,,,70.1,,,
1979 AUG,,5.4,,,,,,,,,,,,67.7,,,
1979 SEP,,5.4,,,,,,,,,,,,67.5,,,
1979 OCT,,5.4,,,,,,,,,,,,67.7,,,
1979 NOV,,5.5,,,,,,,,,,,,68.6,,,
1979 DEC,,5.6,,,,,,,,,,,,69,,,
1980 JAN,,5.7,,,,,,,,,,,,68.5,,,
1980 FEB,,5.8,,,,,,,,,,,,67,,,
1980 MAR,,6,,,,,,,,,,,,66.6,,,
1980 APR,,6.1,,,,,,,,,,,,64.7,,,
1980 MAY,,6.3,,,,,,,,,,,,64.8,,,
1980 JUN,,6.5,,,,,,,,,,,,64.9,,,
1980 JUL,,6.8,,,,,,,,,,,,63.5,,,
1980 AUG,,7.1,,,,,,,,,,,,62.5,,,
1980 SEP,,7.4,,,,,,,,,,,,61.4,,,
1980 OCT,,7.7,,,,,,,,,,,,61.2,,,
1980 NOV,,8,,,,,,,,,,,,61.2,,,
1980 DEC,,8.3,,,,,,,,,,,,60.8,,,
1981 JAN,,8.6,,,,,,,,,,,,60.7,,,
1981 FEB,,8.9,,,,,,,,,,,,61.2,,,
1981 MAR,,9.1,,,,,,,,,,,,61.2,,,
1981 APR,,9.4,,,,,,,,,,,,61.5,,,
1981 MAY,,9.6,,,,,,,,,,,,60.6,,,
1981 JUN,,9.7,,,,,,,,,,,,61.9,,,
1981 JUL,,9.8,,,,,,,,,,,,62.1,,,
1981 AUG,,9.9,,,,,,,,,,,,62.3,,,
1981 SEP,,10,,,,,,,,,,,,62.4,,,
1981 OCT,,10.1,,,,,,,,,,,,63.8,,,
1981 NOV,,10.2,,,,,,,,,,,,63,,,
1981 DEC,,10.3,,,,,,,,,,,,62.1,,,
1982 JAN,,10.4,,,,,,,,,,,,62.1,,,
1982 FEB,,10.4,,,,,,,,,,,,62.5,,,
1982 MAR,,10.5,,,,,,,,,,,,62.6,,,
1982 APR,,10.5,,,,,,,,,,,,63.4,,,
1982 MAY,,10.6,,,,,,,,,,,,64,,,
1982 JUN,,10.6,,,,,,,,,,,,63.1,,,
1982 JUL,,10.7,,,,,,,,,,,,63.1,,,
1982 AUG,,10.8,,,,,,,,,,,,63.7,,,
1982 SEP,,10.9,,,,,,,,,,,,63.7,,,
1982 OCT,,11,,,,,,,,,,,,63.3,,,
1982 NOV,,11.1,,,,,,,,,,,,62.3,,,
1982 DEC,,11.2,,,,,,,,,,,,63.1,,,
1983 JAN,,11.2,,,,,,,,,,,,63.9,,,
1983 FEB,,11.3,,,,,,,,,,,,64.9,,,
1983 MAR,,11.3,,,,,,,,,,,,64,,,
1983 APR,,11.3,,,,,,,,,,,,64.7,,,
1983 MAY,,11.4,,,,,,,,,,,,65.5,,,
1983 JUN,,11.5,,,,,,,,,,,,64.5,,,
1983 JUL,,11.5,,,,,,,,,,,,65.6,,,
1983 AUG,,11.5,,,,,,,,,,,,65.6,,,
1983 SEP,,11.6,,,,,,,,,,,,65.9,,,
1983 OCT,,11.6,,,,,,,,,,,,66.6,,,
1983 NOV,,11.7,,,,,,,,,,,,66.5,,,
1983 DEC,,11.7,,,,,,,,,,,,66.8,,,
1984 JAN,,11.8,,,,,,,,,,,,67.8,,,
1984 FEB,,11.8,,,,,,,,,,,,67.2,,,
1984 MAR,,11.9,,,,,,,,,,,,66.3,,,
1984 APR,,11.9,,,,,,,,,,,,65.1,,,
1984 MAY,,11.9,,,,,,,,,,,,64.6,,,
1984 JUN,,11.8,,,,,,,,,,,,65.1,,,
1984 JUL,,11.8,,,,,,,,,,,,64.2,,,
1984 AUG,,11.7,,,,,,,,,,,,63.9,,,
1984 SEP,,11.7,,,,,,,,,,,,65,,,
1984 OCT,,11.7,,,,,,,,,,,,65.1,,,
1984 NOV,,11.6,,,,,,,,,,,,64.7,,,
1984 DEC,,11.6,,,,,,,,,,,,65.8,,,
1985 JAN,,11.5,,,,,,,,,,,,66.9,,,
1985 FEB,,11.5,,,,,,,,,,,,66.9,,,
1985 MAR,,11.4,,,,,,,,,,,,68.6,,,
1985 APR,,11.4,,,,,,,,,,,,69.2,,,
1985 MAY,,11.4,,,,,,,,,,,,69.8,,,
1985 JUN,,11.3,,,,,,,,,,,,71.3,,,
1985 JUL,,11.3,,,,,,,,,,,,68.6,,,
1985 AUG,,11.3,,,,,,,,,,,,69.2,,,
1985 SEP,,11.3,,,,,,,,,,,,70.4,,,
1985 OCT,,11.3,,,,,,,,,,,,69,,,
1985 NOV,,11.3,,,,,,,,,,,,69.8,,,
1985 DEC,,11.3,,,,,,,,,,,,68,,,
1986 JAN,,11.3,,,,,,,,,,,,68.8,,,
1986 FEB,,11.3,,,,,,,,,,,,69.4,,,
1986 MAR,,11.3,,,,,,,,,,,,70,,,
1986 APR,,11.3,,,,,,,,,,,,70.9,,,
1986 MAY,,11.3,,,,,,,,,,,,69.7,,,
1986 JUN,,11.4,,,,,,,,,,,,70.7,,,
1986 JUL,,11.4,,,,,,,,,,,,70.1,,,
1986 AUG,,11.4,,,,,,,,,,,,70.1,,,
1986 SEP,,11.3,,,,,,,,,,,,71.9,,,
1986 OCT,,11.3,,,,,,,,,,,,72.1,,,
1986 NOV,,11.3,,,,,,,,,,,,71.8,,,
1986 DEC,,11.2,,,,,,,,,,,,72.1,,,
1987 JAN,,11.2,,,,,,,,,,,,70.7,,,
1987 FEB,,11.1,,,,,,,,,,,,73.1,,,
1987 MAR,,11,,,,,,,,,,,,72.8,,,
1987 APR,,10.9,,,,,,,,,,,,72.1,,,
1987 MAY,,10.7,,,,,,,,,,,,73.5,,,
1987 JUN,,10.6,,,,,,,,,,,,73.2,,,
1987 JUL,,10.4,,,,,,,,,,,,74.5,,,
1987 AUG,,10.2,,,,,,,,,,,,74.3,,,
1987 SEP,,10,,,,,,,,,,,,73.8,,,
1987 OCT,,9.9,,,,,,,,,,,,74.7,,,
1987 NOV,,9.7,,,,,,,,,,,,74.6,,,
1987 DEC,,9.5,,,,,,,,,,,,75.3,,,
1988 JAN,,9.4,48.4,,,,,,,,,,,76,,,
1988 FEB,,9.2,48.6,,,,,,,,,,,75.1,,,
1988 MAR,,9,48.7,,,,,,,,,,,76.3,,,
1988 APR,,8.9,49.3,,,,,,,,,,,75.7,,,
1988 MAY,,8.7,49.5,,,,,,,,,,,76.5,,,
1988 JUN,,8.6,49.7,,,,,,,,,,,76.8,,,
1988 JUL,,8.5,49.7,,,,,,,,,,,77.2,,,
1988 AUG,,8.4,49.9,,,,,,,,,,,78,,,
1988 SEP,,8.3,50.1,,,,,,,,,,,78.8,,,
1988 OCT,,8.2,50.3,,,,,,,,,,,77.9,,,
1988 NOV,,8,50.5,,,,,,,,,,,78.7,,,
1988 DEC,,7.9,50.6,,,,,,,,,,,78.2,,,
1989 JAN,,7.7,50.8,,,,,,,,,,,78.6,,,
1989 FEB,,7.6,51,,,,,,,,,,,78.8,,,
1989 MAR,,7.4,51.2,,,,,,,,,,,77.8,,,
1989 APR,,7.3,51.9,,,,,,,,,,,79.7,,,
1989 MAY,,7.2,52.2,,,,,,,,,,,77.7,,,
1989 JUN,,7.2,52.3,,,,,,,,,,,77.7,,,
1989 JUL,,7.1,52.3,,,,,,,,,,,77.9,,,
1989 AUG,,7.1,52.4,,,,,,,,,,,79.5,,,
1989 SEP,,7.1,52.7,,,,,,,,,,,79.1,,,
1989 OCT,,7,53.1,,,,,,,,,,,78.7,,,
1989 NOV,,7,53.3,,,,,,,,,,,79.3,,,
1989 DEC,,7,53.4,,,,,,,,,,,79.2,,,
1990 JAN,,6.9,53.6,,,,,,,,,,,78.4,,,
1990 FEB,,6.9,54,,,,,,,,,,,77.9,,,
1990 MAR,,6.9,54.2,,,,,,,,,,,79,,,
1990 APR,,6.9,55.2,,,,,,,,,,,79.5,,,
1990 MAY,,6.9,55.7,,,,,,,,,,,79,,,
1990 JUN,,6.9,55.9,,,,,,,,,,,80.2,,,
1990 JUL,,7,55.8,,,,,,,,,,,78.3,,,
1990 AUG,,7.1,56.4,,,,,,,,,,,78.4,,,
1990 SEP,,7.2,57,,,,,,,,,,,78,,,
1990 OCT,,7.3,57.4,,,,,,,,,,,77.9,,,
1990 NOV,,7.5,57.5,,,,,,,,,,,77.5,,,
1990 DEC,,7.6,57.5,,,,,,,,,,,77.1,,,
1991 JAN,,7.8,57.4,,,,,,,,,,,76.9,,,
1991 FEB,,8,57.7,,,,,,,,,,,76.9,,,
1991 MAR,,8.2,57.9,,,,,,,,,,,76.1,,,
1991 APR,,8.5,59.9,,,,,,,,,,,75.1,,,
1991 MAY,,8.7,60.3,,,,,,,,,,,76,,,
1991 JUN,,8.8,60.6,,,,,,,,,,,76.2,,,
1991 JUL,,9,60.5,,,,,,,,,,,75.6,,,
1991 AUG,,9.2,60.9,,,,,,,,,,,74.8,,,
1991 SEP,,9.3,61.1,,,,,,,,,,,74.9,,,
1991 OCT,,9.4,61.3,,,,,,,,,,,75.8,,,
1991 NOV,,9.5,61.5,,,,,,,,,,,76,,,
1991 DEC,,9.5,61.6,,,,,,,,,,,75.7,,,
1992 JAN,,9.6,61.4,,,,,,,,,,,75.7,,,
1992 FEB,,9.7,61.7,,,,,,,,,,,76.1,,,
1992 MAR,,9.8,62,,,,,,,,,,,75.8,,,
1992 APR,,9.8,62.7,,,,,,,,,,,76.3,,,
1992 MAY,,9.8,62.9,,,,,,,,,,,74.7,,,
1992 JUN,,9.9,62.9,,,,,,,,,,,75.5,,,
1992 JUL,,9.9,62.6,,,,,,,,,,,76.2,,,
1992 AUG,,9.9,62.7,,,,,,,,,,,76.1,,,
1992 SEP,,10.1,62.9,,,,,,,,,,,76.6,,,
1992 OCT,,10.2,63.1,,,,,,,,,,,77.4,,,
1992 NOV,,10.4,63.1,,,,,,,,,,,76.4,,,
1992 DEC,,10.5,63.2,,,,,,,,,,,76.3,,,
1993 JAN,,10.7,62.8,,,,,,,,,,,76.4,,,
1993 FEB,,10.6,63.2,,,,,,,,,,,77.5,,,
1993 MAR,,10.6,63.6,,,,,,,,,,,76.8,,,
1993 APR,,10.5,64.3,,,,,,,,,,,76.9,,,
1993 MAY,,10.4,64.5,,,,,,,,,,,77.5,,,
1993 JUN,,10.4,64.5,,,,,,,,,,,77,,,
1993 JUL,,10.3,64.2,,,,,,,,,,,77.7,,,
1993 AUG,,10.2,64.5,,,,,,,,,,,77.9,,,
1993 SEP,,10.3,64.8,,,,,,,,,,,78.2,,,
1993 OCT,,10.2,64.7,,,,,,,,,,,78.4,,,
1993 NOV,,10.3,64.6,,,,,,,,,,,79.1,,,
1993 DEC,,10.3,64.7,,,,,,,,,,,79.3,,,
1994 JAN,,10.1,64.5,,,,,,,,,,,79.8,,,
1994 FEB,,9.9,64.8,,,,,,,,,,,80,,,
1994 MAR,,9.8,65,,,,,,,,,,,80.4,,,
1994 APR,,9.7,65.5,,,,,,,,,,,81.4,,,
1994 MAY,,9.7,65.8,,,,,,,,,,,82.4,,,
1994 JUN,,9.6,65.8,,,,,,,,,,,81.5,,,
1994 JUL,,9.5,65.4,,,,,,,,,,,81.9,,,
1994 AUG,,9.4,65.7,,,,,,,,,,,82.2,,,
1994 SEP,,9.3,65.8,,,,,,,,,,,83,,,
1994 OCT,,9.1,65.7,,,,,,,,,,,83.2,,,
1994 NOV,,9,65.7,,,,,,,,,,,83.1,,,
1994 DEC,,8.9,66,,,,,,,,,,,83.9,,,
1995 JAN,,8.9,66,,,,,,,,,,,82.4,,,
1995 FEB,,8.9,66.3,,,,,,,,,,,82.5,,,
1995 MAR,,8.8,66.7,,,,,,,,,,,82.8,,,
1995 APR,,8.8,67,,,,,,,,,,,83.5,,,
1995 MAY,,8.7,67.4,,,,,,,,,,,83.4,,,
1995 JUN,,8.7,67.4,,,,,,,,,,,82.9,,,
1995 JUL,,8.6,67.1,,,,,,,,,,,83.4,,,
1995 AUG,,8.6,67.4,,,,,,,,,,,83.5,,,
1995 SEP,,8.6,67.7,,,,,,,,,,,83.8,,,
1995 OCT,,8.6,67.6,,,,,,,,,,,83.5,,,
1995 NOV,,8.3,67.6,,,,,,,,,,,83.9,,,
1995 DEC,,8.4,68,,,,,,,,,,,84.4,,,
1996 JAN,,8.3,67.8,,,,,,,,56.6,,,84,,,
1996 FEB,,8.2,68.1,,,,,,,,58.1,,,84.6,,,
1996 MAR,,8.3,68.4,,,,,,,,58.3,,,84.7,,,
1996 APR,,8.3,68.7,,,,,,,,58.9,,,83.7,,,
1996 MAY,,8.3,68.9,,,,,,,,58.7,,,84.3,,,
1996 JUN,,8.2,69,,,,,,,,58.9,,,83.8,,,
1996 JUL,,8.1,68.6,,,,,,,,58.7,,,83.7,,,
1996 AUG,,8.1,68.9,,,,,,,,58.9,,,84.3,,,
1996 SEP,,8.1,69.3,,,,,,,,59.5,,,84.8,,,
1996 OCT,,8,69.3,,,,,,,,59.3,,,84.7,,,
1996 NOV,,7.8,69.3,,,,,,,,59.5,,,85.2,,,
1996 DEC,,7.7,69.5,,,,,,,,59.3,,,85.6,,,
1997 JAN,,7.5,69.2,,,,,,,,59.3,,,85.6,62,80.2,
1997 FEB,,7.3,69.4,,,,,,,,59.8,,,85.8,62.5,81.3,1.1
1997 MAR,,7.2,69.5,,,,,,,,60.3,,,84.8,62.6,83.8,0.4
1997 APR,,7.2,69.8,,,,,,,,60.9,4555,,86.8,63.3,86.1,0.6
1997 MAY,,7.2,70,,,,,,,,60.7,4511,,86.3,62.7,81.6,-1.2
1997 JUN,,7.3,70.2,,,,,,,,61.2,4543,,86.6,63,84.1,0.6
1997 JUL,,7.1,69.9,,,,,,,,61.2,4492,,88.4,63.4,83.9,0.2
1997 AUG,,6.8,70.3,,,,,,,,60.7,4587,,87.4,63.4,84.3,0.4
1997 SEP,,6.7,70.6,,,,,,,,60.6,4799,,87.8,63.6,85.1,0.1
1997 OCT,,6.6,70.6,,,,,,,,61.8,4695,,89,64,84.5,0.5
1997 NOV,,6.5,70.6,,,,,,,,61.6,4997,,89.2,64.2,82.9,0.2
1997 DEC,,6.4,70.7,,,,,,,,62,4632,,89.3,64.7,83.5,1
1998 JAN,,6.4,70.3,,,,,,,,62.1,4831,,89.2,64.6,81.3,-0.4
1998 FEB,,6.4,70.5,,,,,,,,62,4314,,90,65,82.7,0.7
1998 MAR,,6.3,70.7,,,,,,,,61.8,4630,,90.7,64.9,80.6,-0.5
1998 APR,,6.3,71.1,,,,,,,,61.7,4682,,91.1,65.5,83.2,1.1
1998 MAY,,6.3,71.4,,,,,,,,62.4,4728,,90.4,65.2,79.5,-0.3
1998 JUN,,6.3,71.3,,,,,,,,61.5,4691,,90.6,65.3,81.6,0.1
1998 JUL,,6.3,71,,,,,,,,62.1,4563,,90.3,65.5,82.8,0.5
1998 AUG,,6.2,71.2,,,,,,,,62.5,4963,,90.9,65.6,81.2,0.1
1998 SEP,,6.2,71.5,,,,,,,,62.4,4951,,91.1,65.6,81.5,-0.1
1998 OCT,,6.2,71.5,,,,,,,,62,4949,,91.4,65.9,80.7,0.4
1998 NOV,,6.1,71.6,,,,,,,,62.2,4863,,91.5,66.1,81.6,0.4
1998 DEC,,6.2,71.8,,,,,,,,61.9,4904,,91.8,66.3,83.5,0.2
1999 JAN,,6.2,71.4,,,,,,,,62.5,5171,,93,66.3,80.4,-0.3
1999 FEB,,6.2,71.5,,,,,,,,62.3,4910,,93.2,66.6,80.9,0.4
1999 MAR,,6.2,71.9,,,,,,,,62.2,5036,,93.9,66.6,81.1,-0.3
1999 APR,,6.1,72.2,,,,,,,,62.4,5007,,94,66.4,79,-0.5
1999 MAY,,6,72.4,,,,,,,,63.2,5101,,94.9,67,78.7,0.9
1999 JUN,,6,72.3,,,,,,,,63.5,5023,,94.7,67.1,80,0.3
1999 JUL,,5.9,71.9,,,,,,,,63.4,5124,,95.6,67.6,79.7,0.8
1999 AUG,,5.9,72.1,,,,,,,,63.7,5214,,96.2,67.9,79.8,0.4
1999 SEP,,5.8,72.4,,,,,,,,63.6,5253,,96.8,68.3,80.8,0.6
1999 OCT,,5.8,72.3,,,,,,,,64.1,5573,,96.5,68.8,82.1,1
1999 NOV,,5.8,72.4,,,,,,,,64.5,5366,,97,69.1,83.5,0.6
1999 DEC,,5.9,72.6,,,,,,,,64.8,5404,,95.6,69,85,0.1
2000 JAN,,5.8,71.9,,,,,,,,66.2,5229,305,96.3,69.9,85.8,1.5
2000 FEB,,5.8,72.2,,,,,,,,64.9,5170,300,96.8,69.7,87.2,-0.6
2000 MAR,,5.7,72.3,,,,,,,,65.1,5343,311,96.4,69.5,87.5,-0.2
2000 APR,,5.6,72.6,,,,,,,,66.1,5407,309,96.4,69.9,88.2,0.8
2000 MAY,,5.5,72.8,,,,,,,,65.3,5369,311,96.7,70.4,89.9,0.8
2000 JUN,,5.3,72.9,,,,,,,,65.3,5265,311,97.2,70.6,89.6,0.5
2000 JUL,,5.3,72.5,,,,,,,,65.1,5441,313,96.8,70.4,85.9,-0.3
2000 AUG,,5.3,72.5,,,,,,,,66.1,5346,315,97.9,71.1,91.1,1.1
2000 SEP,,5.4,73.1,,,,,,,,66.1,5685,317,97.5,70.9,87.9,-0.3
2000 OCT,,5.3,73.1,,,,,,,,66.6,5755,318,97.9,71,88.3,0.1
2000 NOV,,5.2,73.2,,,,,,,,66.6,5503,320,98.8,71.3,88.1,0.2
2000 DEC,,5.2,73.2,,,,,,,,66.5,5405,323,100.6,71.6,86.6,0
2001 JAN,,5.2,72.6,,,,,,,,67.6,5386,321,100.2,71.8,89,0.5
2001 FEB,,5.1,72.7,,,,,,,,70.1,5398,325,100.3,71.8,87.3,0.1
2001 MAR,,5,73,,,,,,,,70.1,5519,326,101.2,72.2,87.7,0.6
2001 APR,,4.9,73.4,,,,,,,,70.1,5921,326,101.6,72.1,85.8,-0.5
2001 MAY,,5,74,,,,,,,,71.5,5573,327,101,72.1,87.4,0.2
2001 JUN,,5,74.1,,,,,,,,71.3,5429,328,101.7,72.4,87.5,0.3
2001 JUL,,5.1,73.6,,,,,,,,72,5651,328,101.5,72.4,86.8,0.1
2001 AUG,,5.1,73.9,,,,,,,,71.9,5547,331,102.6,72.6,88.3,0.1
2001 SEP,,5.1,74.1,,,,,,,,72.3,5936,331,102.2,72.5,86.5,0
2001 OCT,,5.1,73.9,,,,,,,,73,5916,333,101.4,72.7,88.7,0.5
2001 NOV,,5.2,73.8,,,,,,,,73.8,5859,334,101.6,72.7,89.2,-0.2
2001 DEC,,5.2,74,,,,,,,,74.7,5773,334,101.2,72.6,88.3,-0.1
2002 JAN,,5.1,73.7,,,,,,,,74.1,5913,333,100.8,72.8,88.5,0.3
2002 FEB,,5.2,73.8,,,,,,,,75.1,5846,334,100.8,72.8,87.8,-0.1
2002 MAR,,5.2,74.1,,,,,,,,75.4,5985,334,102.5,72.9,87,-0.2
2002 APR,,5.2,74.4,,,,,,,,76.5,6104,338,100.3,73.3,90.1,1.4
2002 MAY,,5.2,74.6,,,,,,,,75.8,5776,339,103.4,73.9,88.4,0.3
2002 JUN,,5.2,74.6,,,,,,,,74.7,5704,340,98.1,72.1,84.9,-1.9
2002 JUL,,5.2,74.4,,,,,,,,75.8,6009,341,104.5,73.4,88.1,0.9
2002 AUG,,5.3,74.6,,,,,,,,75.9,5849,341,104.3,73.7,87.3,0.4
2002 SEP,,5.2,74.8,,,,,,,,75.9,6272,342,105.9,73.9,86.8,0
2002 OCT,,5.2,74.9,,,,,,,,76.2,6350,342,104.6,74.1,87.9,0.6
2002 NOV,,5.1,74.9,,,,,,,,76.7,6314,343,105,74.4,88,0.4
2002 DEC,,5,75.2,,,,,,,,76.7,5926,343,105.6,74.3,87.1,-0.1
2003 JAN,,5.1,74.7,,,,,,,,76.1,6133,339,105.1,74.6,86.6,0.7
2003 FEB,,5.2,75,,,,,,,,76,5895,341,106.3,74.9,86.1,0.4
2003 MAR,,5.1,75.3,,,,,,,,76.4,6272,349,106.2,74.7,85.6,-0.3
2003 APR,,5,75.5,,,,,,,,76.8,6975,347,105.4,75.4,89.2,1.4
2003 MAY,,4.9,75.5,,,,,,,,76.5,6434,348,104.2,75.2,87,-0.1
2003 JUN,,5.1,75.4,,,,,,,,77.7,6525,349,104.8,75.7,87.5,0.6
2003 JUL,,5.1,75.3,,,,,,,,77.7,6425,351,105.4,75.9,88.4,0.4
2003 AUG,,5,75.6,,,,,,,,77.9,6326,352,105.4,76,87.2,0.1
2003 SEP,,5,75.9,,,,,,,,78.5,6547,355,105.8,76.4,88.9,0.7
2003 OCT,,4.9,76,,,,,,,,78.6,7209,357,107.7,76.8,88.3,0.2
2003 NOV,,4.9,75.9,,,,,,,,78.3,7113,357,106.5,76.6,86.3,-0.1
2003 DEC,,4.8,76.2,,,,,,,,78.4,6537,357,106.3,76.9,87.5,0.6
2004 JAN,,4.8,75.8,,,,,,,,79.9,6766,364,107.6,76.9,88.1,-0.5
2004 FEB,,4.8,76,,,,,,,,79.5,6560,352,107.5,76.9,88.4,0
2004 MAR,,4.8,76.1,,,,,,,,80.3,6873,361,107.5,77.2,88.7,0.6
2004 APR,,4.8,76.4,,,,,,,,80.5,6867,362,107.8,77.1,88.4,-0.1
2004 MAY,,4.8,76.6,,,,,,,,80.7,6834,363,106.6,77.4,89.1,0.8
2004 JUN,,4.8,76.6,,,,,,,,81.2,6698,364,106.3,77.6,90.1,0.5
2004 JUL,,4.7,76.4,,,,,,,,81.4,6778,365,105.8,77.6,89.8,0.1
2004 AUG,,4.7,76.6,,,,,,,,81.5,6723,367,104.2,77.4,89.5,0
2004 SEP,,4.7,76.7,,,,,,,,81.8,7046,369,103.9,77.7,90.1,0.6
2004 OCT,,4.7,76.9,,,,,,,,81.7,7326,372,104,78,90.1,0.5
2004 NOV,,4.7,77,,,,,,,,81.4,7030,372,104.5,78.1,90.3,0.1
2004 DEC,,4.7,77.4,,,,,,,,81,7165,373,104,78.1,90.7,0.1
2005 JAN,,4.8,77,,,,,,,,81.1,6796,379,104.9,78.8,91.2,0.9
2005 FEB,,4.7,77.2,,,,,,,,81.1,6792,371,104.5,78.8,91.7,0
2005 MAR,,4.7,77.5,,,,,,,,80.2,6736,376,102.7,78.5,89.9,-0.3
2005 APR,,4.8,77.8,,,,,,,,80.9,7268,379,105.4,79.5,93.2,1.2
2005 MAY,,4.8,78.1,,,,,,,,80.5,6959,380,104.6,79.2,92,-0.4
2005 JUN,,4.7,78.1,,,,,,,,80.9,6891,380,105.5,79.7,92.9,0.7
2005 JUL,,4.7,78.2,,,,,,,,80.7,7199,383,104.3,80.1,93.3,1
2005 AUG,,4.7,78.4,,,,,,,,80.1,6913,386,103.4,80.1,94.3,0.1
2005 SEP,,4.9,78.6,,,,,,,,80.2,7350,387,104.7,80.4,94,0.3
2005 OCT,,5.1,78.7,,,,,,,,80.5,7370,388,104,80.2,94.9,-0.1
2005 NOV,,5.1,78.7,,,,,,,,81.2,7222,390,105.1,81,96.2,1.1
2005 DEC,,5.1,78.9,,,,,,,,80.6,7134,390,108.8,81.7,96.7,0.3
2006 JAN,,5.2,78.5,,,,,,,,81.8,6832,391,107.2,81.4,97.4,-0.3
2006 FEB,,5.2,78.8,,,,,,,,81.7,6734,392,107.2,81.3,97.9,-0.1
2006 MAR,,5.3,78.9,,,,,,,,82.5,7031,398,108.4,81.7,99.1,0.2
2006 APR,,5.4,79.4,,,,,,,,81.9,7421,395,108.7,81.5,98.6,-0.4
2006 MAY,,5.5,79.9,,,,,,,,82.6,7298,397,109.6,81.8,99.6,0.4
2006 JUN,,5.5,80.1,,,,,,,,82.7,7263,401,110.1,82,98.4,0.1
2006 JUL,,5.5,80,,,,,,,,82.6,7496,401,109.3,81.6,97.7,-0.4
2006 AUG,,5.5,80.4,,,,,,,,82.7,7385,401,110.1,81.9,98.2,0.3
2006 SEP,,5.5,80.5,,,,,,,,82.4,8081,402,110.3,82.2,98.7,0.4
2006 OCT,,5.4,80.6,,,,,,,,83.6,8050,405,109,81.8,98.4,-0.4
